Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
19 Melilla;Ambos sexos;2005;78,53
19 Melilla;Ambos sexos;2004;77,66
19 Melilla;Ambos sexos;2003;77,18
19 Melilla;Ambos sexos;2002;77,31
19 Melilla;Ambos sexos;2001;77,40
19 Melilla;Ambos sexos;2000;76,87
19 Melilla;Hombres;2021;77,38
19 Melilla;Hombres;2020;77,11
19 Melilla;Hombres;2019;78,24
19 Melilla;Hombres;2018;78,23
19 Melilla;Hombres;2017;77,82
19 Melilla;Hombres;2016;78,77
19 Melilla;Hombres;2015;78,19
19 Melilla;Hombres;2014;77,70
19 Melilla;Hombres;2013;78,26
19 Melilla;Hombres;2012;78,12
19 Melilla;Hombres;2011;77,01
19 Melilla;Hombres;2010;78,47
19 Melilla;Hombres;2009;78,15
19 Melilla;Hombres;2008;75,20
19 Melilla;Hombres;2007;76,54
19 Melilla;Hombres;2006;75,49
19 Melilla;Hombres;2005;76,12
19 Melilla;Hombres;2004;75,05
19 Melilla;Hombres;2003;74,41
19 Melilla;Hombres;2002;73,96
19 Melilla;Hombres;2001;73,82
19 Melilla;Hombres;2000;73,45
19 Melilla;Mujeres;2021;82,36
19 Melilla;Mujeres;2020;80,49
19 Melilla;Mujeres;2019;83,18
19 Melilla;Mujeres;2018;82,13
19 Melilla;Mujeres;2017;82,78
19 Melilla;Mujeres;2016;82,14
19 Melilla;Mujeres;2015;81,52
19 Melilla;Mujeres;2014;82,44
19 Melilla;Mujeres;2013;82,14
19 Melilla;Mujeres;2012;82,60
19 Melilla;Mujeres;2011;83,07
19 Melilla;Mujeres;2010;83,67
19 Melilla;Mujeres;2009;82,90
19 Melilla;Mujeres;2008;81,79
19 Melilla;Mujeres;2007;80,90
19 Melilla;Mujeres;2006;80,87
19 Melilla;Mujeres;2005;80,80
19 Melilla;Mujeres;2004;80,17
19 Melilla;Mujeres;2003;79,75
19 Melilla;Mujeres;2002;80,55
19 Melilla;Mujeres;2001;80,97
19 Melilla;Mujeres;2000;80,26
